Feature Index,Feature Name,Description,Expected Type,Example Value
0,duration,Original NSL-KDD dataset feature,Float (scaled),0.05414803316384442
1,protocol_type,Original NSL-KDD dataset feature,Float (scaled),0.6599689495636498
2,service,Original NSL-KDD dataset feature,Float (scaled),0.6969341523968565
3,flag,Original NSL-KDD dataset feature,Float (scaled),0.7627912030695376
4,src_bytes,Original NSL-KDD dataset feature,Float (scaled),0.2753621493040196
5,dst_bytes,Original NSL-KDD dataset feature,Float (scaled),0.36450298398242365
6,land,Original NSL-KDD dataset feature,Float (scaled),0.10532809053933956
7,wrong_fragment,Original NSL-KDD dataset feature,Float (scaled),0.7937502547971653
8,urgent,Original NSL-KDD dataset feature,Float (scaled),0.28901409270419476
9,hot,Original NSL-KDD dataset feature,Float (scaled),0.8060062837755216
10,num_failed_logins,Original NSL-KDD dataset feature,Float (scaled),0.25304109568307054
11,logged_in,Original NSL-KDD dataset feature,Float (scaled),0.01483811808358304
12,num_compromised,Original NSL-KDD dataset feature,Float (scaled),0.0024485822757802644
13,root_shell,Original NSL-KDD dataset feature,Float (scaled),0.18253567604801835
14,su_attempted,Original NSL-KDD dataset feature,Float (scaled),0.7114062855145227
15,num_root,Original NSL-KDD dataset feature,Float (scaled),0.36114585741669625
16,num_file_creations,Original NSL-KDD dataset feature,Float (scaled),0.27197934056961304
17,num_shells,Original NSL-KDD dataset feature,Float (scaled),0.17041013345037637
18,num_access_files,Original NSL-KDD dataset feature,Float (scaled),0.3795747806520977
19,num_outbound_cmds,Original NSL-KDD dataset feature,Float (scaled),0.5922701252290152
20,is_host_login,Original NSL-KDD dataset feature,Float (scaled),0.10722910869225788
21,is_guest_login,Original NSL-KDD dataset feature,Float (scaled),0.7900989850758097
22,count,Original NSL-KDD dataset feature,Float (scaled),0.015659169636821235
23,srv_count,Original NSL-KDD dataset feature,Float (scaled),0.16175227257294467
24,serror_rate,Original NSL-KDD dataset feature,Float (scaled),0.6097563901582005
25,srv_serror_rate,Original NSL-KDD dataset feature,Float (scaled),0.1612625469946054
26,rerror_rate,Original NSL-KDD dataset feature,Float (scaled),0.9248642379756545
27,srv_rerror_rate,Original NSL-KDD dataset feature,Float (scaled),0.2491881660517533
28,same_srv_rate,Original NSL-KDD dataset feature,Float (scaled),0.7698729275172868
29,diff_srv_rate,Original NSL-KDD dataset feature,Float (scaled),0.11781384272867879
30,srv_diff_host_rate,Original NSL-KDD dataset feature,Float (scaled),0.5379963556367218
31,dst_host_count,Original NSL-KDD dataset feature,Float (scaled),0.9850787590095174
32,dst_host_srv_count,Original NSL-KDD dataset feature,Float (scaled),0.7524043773346644
33,dst_host_same_srv_rate,Original NSL-KDD dataset feature,Float (scaled),0.506062657036733
34,dst_host_diff_srv_rate,Original NSL-KDD dataset feature,Float (scaled),0.06800550383410275
35,dst_host_same_src_port_rate,Original NSL-KDD dataset feature,Float (scaled),0.5317240788540042
36,dst_host_srv_diff_host_rate,Original NSL-KDD dataset feature,Float (scaled),0.5345814125227235
37,dst_host_serror_rate,Original NSL-KDD dataset feature,Float (scaled),0.8683805644118525
38,dst_host_srv_serror_rate,Original NSL-KDD dataset feature,Float (scaled),0.033883899585339994
39,dst_host_rerror_rate,Original NSL-KDD dataset feature,Float (scaled),0.19905879562182882
40,dst_host_srv_rerror_rate,Original NSL-KDD dataset feature,Float (scaled),0.19614054326228403
